One_of_top_3_CPC_for_PC,CPC Description,Device Type (PC) Description,PRODUCTCODE
F16C2316/10,"MECHANICAL ENGINEERING; LIGHTING; HEATING; WEAPONS; BLASTING-- ENGINEERING IN GENERAL; FLUID-PRESSURE ACTUATORS; HYDRAULICS OR PNEUMATICS IN GENERAL-- ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL-- SHAFTS; FLEXIBLE SHAFTS; ELEMENTS OR CRANKSHAFT MECHANISMS; ROTARY BODIES OTHER THAN GEARING ELEMENTS; BEARINGS-- Apparatus in health or amusement (in general A61-A63)-- .in medical appliances, e.g. in diagnosis, dentistry, instruments, prostheses, medical imaging appliances","Diagnostic x-ray tube housing assembly. --Assembly, Tube Housing, X-Ray, Diagnostic",ITY
F16H19/06,"MECHANICAL ENGINEERING; LIGHTING; HEATING; WEAPONS; BLASTING-- ENGINEERING IN GENERAL; FLUID-PRESSURE ACTUATORS; HYDRAULICS OR PNEUMATICS IN GENERAL-- ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL-- GEARING-- Other friction gearing for conveying rotary motion; Gearing for conveying rotary motion with constant gear ratio by friction between rotary members {friction discs F16H55/32}-- Gearings comprising essentially only toothed gears or friction members and not capable of conveying indefinitely-continuing rotary motion (with intermittently-driving members F16H27/00 - F16H31/00)-- .for interconverting rotary {or oscillating};  motion and reciprocating motion-- ..comprising {flexible members, e.g. an};  endless flexible member","Diagnostic x-ray tube housing assembly. --Assembly, Tube Housing, X-Ray, Diagnostic",ITY
A61B17/00234,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- .for minimally invasive surgery (A61B17/0218, A61B17/0469, A61B17/12013, A61B17/1285, A61B17/29, A61B17/320016 take precedence)","Diagnostic x-ray tube housing assembly. --Assembly, Tube Housing, X-Ray, Diagnostic",ITY
C07K2319/00,"CHEMISTRY; METALLURGY-- CHEMISTRY; INORGANIC CHEMISTRY-- ORGANIC CHEMISTRY-- PEPTIDES (peptides in foodstuffs A23; obtaining protein compositions for foodstuffs, working-up proteins for foodstuffs A23J; preparations for medicinal purposes A61K; peptides containing beta-lactam rings C07D; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, C07D; ergot alkaloids of the cyclic peptide type C07D519/02; macromolecular compounds having statistically distributed amino acid units in their molecules, i.e. when the preparation does not provide for a specific; but for a random sequence of the amino acid units, homopolyamides and block copolyamides derived from amino acids C08G69/00; macromolecular products derived from proteins C08H1/00; preparation of glue or gelatine C09H; single cell proteins, enzymes C12N; genetic engineering processes for obtaining peptides C12N15/00; compositions for measuring or testing processes involving enzymes C12Q; investigation or analysis of biological material G01N33/00)-- Fusion polypeptide","Brucella spp. serological reagents. --Antisera, Fluorescent, Brucella Spp.",GSM
A61K2039/53,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing antigens or antibodies (materials for immunoassay G01N33/53)-- .comprising whole cells, viruses or DNA/RNA-- ..DNA (RNA) vaccination","Brucella spp. serological reagents. --Antisera, Fluorescent, Brucella Spp.",GSM
A61K39/00,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing antigens or antibodies (materials for immunoassay G01N33/53)","Brucella spp. serological reagents. --Antisera, Fluorescent, Brucella Spp.",GSM
Y02A50/30,"GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS; GENERAL TAGGING OF CROSS-SECTIONAL TECHNOLOGIES SPANNING OVER SEVERAL SECTIONS OF THE IPC; TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS-- TECHNOLOGIES OR APPLICATIONS FOR MITIGATION OR ADAPTATION AGAINST CLIMATE CHANGE-- TECHNOLOGIES FOR ADAPTATION TO CLIMATE CHANGE-- in human health protection, e.g. against extreme weather-- .Against vector-borne diseases, e.g. mosquito-borne, fly-borne, tick-borne or waterborne diseases whose impact is exacerbated by climate change","Histoplasma capsulatum serological reagents. --Antigens, Histoplasma Capsulatum, All",GMJ
A61K39/12,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing antigens or antibodies (materials for immunoassay G01N33/53)-- .Viral antigens","Histoplasma capsulatum serological reagents. --Antigens, Histoplasma Capsulatum, All",GMJ
A61K2039/53,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing antigens or antibodies (materials for immunoassay G01N33/53)-- .comprising whole cells, viruses or DNA/RNA-- ..DNA (RNA) vaccination","Histoplasma capsulatum serological reagents. --Antigens, Histoplasma Capsulatum, All",GMJ
A61F5/566,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Orthopaedic methods or devices for non-surgical treatment of bones or joints (surgical instruments or methods for treatment of bones or joints, devices specially adapted therefor A61B17/56); Nursing devices; {Anti-rape devices}(bandages, dressings or absorbent pads A61F13/00)-- .Devices for preventing snoring {by influencing the respiratory system by gas treatment A61M16/00}-- ..Intra-oral devices","Airway connector. --Connector, Airway (Extension)",BZA
A61M16/0488,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Inhaling devices; Inhalators {drug delivery in endotracheal tubes A61M16/04}-- Devices for influencing the respiratory system of patients by gas treatment, e.g. mouth-to-mouth respiration; Tracheal tubes (stimulating the respiratory movement by mechanical, pneumatic or electrical means, iron lungs combined with gas breathing means A61H31/00)-- .Tracheal tubes (catheters in general A61M25/00)-- ..Mouthpieces; Means for guiding, securing or introducing the tubes (guiding or introducing with laryngoscopes A61B1/267; holding devices on the body A61M25/02)","Airway connector. --Connector, Airway (Extension)",BZA
A61M16/04,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Inhaling devices; Inhalators {drug delivery in endotracheal tubes A61M16/04}-- Devices for influencing the respiratory system of patients by gas treatment, e.g. mouth-to-mouth respiration; Tracheal tubes (stimulating the respiratory movement by mechanical, pneumatic or electrical means, iron lungs combined with gas breathing means A61H31/00)-- .Tracheal tubes (catheters in general A61M25/00)","Airway connector. --Connector, Airway (Extension)",BZA
A61G7/015,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Invalid beds or accessories; Treatment rooms for medical purposes; Accommodation for nursing; Beds specially adapted for nursing; Devices for lifting patients or disabled persons (stretchers with facilities for picking up patients or disabled persons A61G1/003)-- .having adjustable mattress frame-- ..divided into different adjustable sections, e.g. for Gatch position","AC-powered adjustable hospital bed. --Bed, Ac-Powered Adjustable Hospital",FNL
A61G7/018,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Invalid beds or accessories; Treatment rooms for medical purposes; Accommodation for nursing; Beds specially adapted for nursing; Devices for lifting patients or disabled persons (stretchers with facilities for picking up patients or disabled persons A61G1/003)-- .having adjustable mattress frame-- ..Control or drive mechanisms","AC-powered adjustable hospital bed. --Bed, Ac-Powered Adjustable Hospital",FNL
A61G7/05769,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Invalid beds or accessories; Treatment rooms for medical purposes; Accommodation for nursing; Beds specially adapted for nursing; Devices for lifting patients or disabled persons (stretchers with facilities for picking up patients or disabled persons A61G1/003)-- .Parts, details or accessories of beds (devices for prevention against falling out A47C21/08, A47D7/00{; mattresses A47C27/00})-- ..Arrangements for preventing bed-sores or for supporting patients with burns, e.g. mattresses specially adapted therefor {ventilation openings in mattresses A47C21/042; pneumatic or hydraulic mattresses A47C27/08}-- ...with inflatable chambers","AC-powered adjustable hospital bed. --Bed, Ac-Powered Adjustable Hospital",FNL
C07F7/0814,"CHEMISTRY; METALLURGY-- CHEMISTRY; INORGANIC CHEMISTRY-- ORGANIC CHEMISTRY-- ACYCLIC, CARBOCYCLIC OR HETEROCYCLIC COMPOUNDS CONTAINING ELEMENTS OTHER THAN CARBON, HYDROGEN, HALOGEN, OXYGEN, NITROGEN, SULFUR, SELENIUM OR TELLURIUM (metal-containing porphyrins C07D487/22)-- Compounds containing elements of  Groups 4 or 14 of the Periodic System-- .Silicon compounds-- ..Compounds having one or more CSi linkages-- ...Compounds with Si-C or Si-Si linkages-- ....comprising at least one atom selected from the elements N, O, halogen, S, Se or Te-- .....comprising a heterocyclic ring-- ......said ring is substituted at a C ring atom by Si",Entamoeba histolytica serological reagents. --Giardia Spp.,MHI
A01N43/56,"HUMAN NECESSITIES-- AGRICULTURE; AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING-- PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF (preservation of food or foodstuff A23); BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES (preparations for medical, dental or toilet purposes which kill or prevent the growth or proliferation of unwanted organisms A61K); PEST REPELLANTS OR ATTRACTANTS; PLANT GROWTH REGULATORS-- Biocides; Pest repellants or attractants; Plant growth regulators; Biocides, pest repellants or attractants, or plant growth regulators, characterised by their forms, or by their non-active ingredients or by their methods of application {, e.g. seed treatment or sequential application}; Substances for reducing the noxious effect of the active ingredients to organisms other than pests-- Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds (containing cyclic anhydrides, cyclic imides A01N37/00; containing compounds of the formula  containing only one heterocyclic ring, wherein m>=1 and n>=0 and is unsubstituted or alkylsubstituted pyrrolidine, piperidine, morpholine, thiomorpholine, piperazine or a polymethyleneimine with four or more CH2groups,A01N33/00-A01N41/12; containing cyclopropane carboxylic acids or derivatives thereof, e.g. esters having heterocyclic rings, A01N53/00)-- .having rings with two nitrogen atoms as the only ring hetero atoms-- ..1,2-Diazoles; Hydrogenated 1,2-diazoles",Entamoeba histolytica serological reagents. --Giardia Spp.,MHI
